Data da colheita,Zona de produção,Produtoras de DSP
20/03/2015,ETJ,20
20/03/2015,L5,20
23/03/2015,LAL,20
23/03/2015,L5,20
23/03/2015,ETJ,20
23/03/2015,TAV2,40
23/03/2015,VT1,20
23/03/2015,L8,1260
23/03/2015,L8,60
23/03/2015,L9,20
23/03/2015,FUZ1,320
23/03/2015,OLH1,20
23/03/2015,L8,80
23/03/2015,FAR2,120
23/03/2015,RIAV1,20
23/03/2015,RIAV2,20
23/03/2015,RIAV3,20
23/03/2015,RIAV4,20
23/03/2015,L3,20
23/03/2015,RIAV1,20
24/03/2015,L5,20
24/03/2015,LOB,20
24/03/2015,EMR,20
24/03/2015,L6,20
24/03/2015,ESD2,20
24/03/2015,ESD1,20
24/03/2015,ESD1,20
24/03/2015,L6,20
24/03/2015,POR2,20
23/03/2015,OLH4,20
24/03/2015,L7c,20
24/03/2015,LAG,20
24/03/2015,L7a,20
24/03/2015,L7c,440
24/03/2015,OLH5,20
24/03/2015,EMN2,20
24/03/2015,EMI,20
24/03/2015,EMI,20
24/03/2015,ELM,20
24/03/2015,L1,20
23/03/2015,L1,20
23/03/2015,L2,20
25/03/2015,ETJ,20
25/03/2015,L5,20
25/03/2015,OLH2,20
25/03/2015,OLH3,20
25/03/2015,FAR1,20
30/03/2015,ETJ,20
30/03/2015,LAL,20
30/03/2015,L9,20
30/03/2015,VT1,20
30/03/2015,TAV2,20
30/03/2015,FUZ1,40
30/03/2015,OLH2,20
30/03/2015,OLH3,120
30/03/2015,EMN2,20
30/03/2015,L2,20
30/03/2015,L1,20
30/03/2015,L1,20
30/03/2015,ELM,60
30/03/2015,L5,20
31/03/2015,ETJ,20
31/03/2015,FAR2,20
30/03/2015,OLH4,20
30/03/2015,L8,20
30/03/2015,L2,20
30/03/2015,LAL,20
30/03/2015,FUZ1,20
30/03/2015,FAR2,20
31/03/2015,L9,20
31/03/2015,TAV2,20
31/03/2015,L8,20
31/03/2015,VT1,40
31/03/2015,OLH2,20
31/03/2015,OLH1,20
31/03/2015,OLH3,20
31/03/2015,OLH5,20
31/03/2015,L5,20
31/03/2015,LOB,20
31/03/2015,RIAV1,20
31/03/2015,RIAV2,20
31/03/2015,RIAV3,20
30/03/2015,RIAV4,20
30/03/2015,L3,20
30/03/2015,RIAV1,20
31/03/2015,L1,20
31/03/2015,EMI,20
31/03/2015,EMI,20
31/03/2015,ELM,20
01/04/2015,L5,20
02/04/2015,L5,20
02/04/2015,ETJ,20
06/04/2015,L5,20
06/04/2015,LAL,20
06/04/2015,EMR,20
06/04/2015,L8,40
06/04/2015,L9,20
06/04/2015,VT1,20
06/04/2015,TAV2,1180
06/04/2015,FUZ1,960
06/04/2015,OLH5,40
06/04/2015,L8,1820
06/04/2015,FAR2,40
07/04/2015,L5,20
07/04/2015,LOB,20
06/04/2015,L3,20
06/04/2015,RIAV1,20
06/04/2015,RIAV2,40
06/04/2015,RIAV3,20
06/04/2015,RIAV1,20
06/04/2015,RIAV4,20
07/04/2015,L6,20
07/04/2015,ESD1,20
07/04/2015,ESD2,20
07/04/2015,L6,20
07/04/2015,ESD1,20
07/04/2015,L7a,20
07/04/2015,L7c,400
07/04/2015,POR2,20
07/04/2015,L7c,980
07/04/2015,LAG,160
06/04/2015,L1,20
06/04/2015,L2,20
07/04/2015,ELM,20
07/04/2015,L1,20
07/04/2015,EMI,20
07/04/2015,EMI,20
07/04/2015,EMN2,20
08/04/2015,L5,20
08/04/2015,ETJ,20
08/04/2015,L2,20
08/04/2015,OLH1,20
08/04/2015,OLH2,580
08/04/2015,OLH3,60
07/04/2015,OLH4,20
08/04/2015,FAR1,60
13/04/2015,LAL,20
13/04/2015,L8,1280
13/04/2015,L8,700
13/04/2015,OLH3,20
13/04/2015,OLH2,120
13/04/2015,OLH1,20
13/04/2015,FUZ1,180
13/04/2015,TAV2,740
13/04/2015,VT1,20
13/04/2015,L9,20
13/04/2015,RIAV1,40
13/04/2015,RIAV2,80
13/04/2015,RIAV3,40
13/04/2015,RIAV4,20
13/04/2015,L3,20
13/04/2015,RIAV1,80
14/04/2015,L5,20
14/04/2015,LOB,40
14/04/2015,L6,20
14/04/2015,L6,20
14/04/2015,ESD1,20
14/04/2015,ESD1,20
14/04/2015,ESD2,20
14/04/2015,L2,20
14/04/2015,L1,20
13/04/2015,L1,20
13/04/2015,EMI,20
13/04/2015,EMI,40
13/04/2015,ELM,20
13/04/2015,OLH5,140
14/04/2015,L7c,2960
14/04/2015,POR2,200
14/04/2015,LAG1,160
14/04/2015,L7a,80
14/04/2015,EMN2,20
14/04/2015,L7c,120
15/04/2015,L5,20
15/04/2015,ETJ,20
15/04/2015,OLH4,20
15/04/2015,FAR1,20
15/04/2015,FAR2,20
17/04/2015,L5,20
17/04/2015,ETJ,20
16/04/2015,L3,40
20/04/2015,LAL,40
20/04/2015,L5,20
20/04/2015,OLH1,20
20/04/2015,OLH2,20
20/04/2015,OLH4,20
20/04/2015,OLH5,20
20/04/2015,L8,20
20/04/2015,L8,20
20/04/2015,L9,40
20/04/2015,FUZ1,60
20/04/2015,VT1,20
20/04/2015,TAV2,6252
20/04/2015,RIAV1,220
20/04/2015,RIAV2,280
20/04/2015,RIAV3,20
20/04/2015,RIAV4,40
20/04/2015,L3,600
20/04/2015,RIAV1,40
21/04/2015,L5,20
21/04/2015,LOB,20
21/04/2015,L6,1000
21/04/2015,ESD2,20
21/04/2015,ESD1,20
21/04/2015,ESD1,40
21/04/2015,L6,20
21/04/2015,L1,60
21/04/2015,L2,20
21/04/2015,EMI,2320
21/04/2015,EMI,1000
21/04/2015,ELM,5840
21/04/2015,L1,160
20/04/2015,L2,160
20/04/2015,L1,340
21/04/2015,L7c,100
21/04/2015,L7a,20
21/04/2015,L7c,340
21/04/2015,LAG,20
21/04/2015,POR2,20
21/04/2015,EMN2,20
20/04/2015,L8,1000
21/04/2015,ETJ,20
22/04/2015,ETJ,20
22/04/2015,L5,20
22/04/2015,EMR,20
22/04/2015,OLH3,20
22/04/2015,FAR2,40
22/04/2015,FAR1,20
27/04/2015,LAL,20
27/04/2015,ETJ,20
27/04/2015,L5,180
27/04/2015,ETJ,20
27/04/2015,FAR1,20
27/04/2015,L8,20
27/04/2015,OLH3,20
27/04/2015,L8,80
23/04/2015,L3,20
27/04/2015,L2,40
27/04/2015,L1,40
27/04/2015,L1,20
28/04/2015,LOB,20
28/04/2015,L5,20
27/04/2015,RIAV1,20
27/04/2015,RIAV2,20
27/04/2015,RIAV3,20
27/04/2015,RIAV4,20
27/04/2015,EMN2,20
28/04/2015,ESD2,20
28/04/2015,ESD1,20
28/04/2015,ESD1,20
28/04/2015,L6,600
28/04/2015,L6,80
28/04/2015,POR2,20
28/04/2015,L7a,20
28/04/2015,LAG1,20
28/04/2015,L7c,40
28/04/2015,L7c,40
28/04/2015,ELM,120
28/04/2015,EMI,40
28/04/2015,EMI,20
28/04/2015,L1,20
28/04/2015,RIAV1,40
28/04/2015,L3,40
29/04/2015,L5,60
28/04/2015,OLH4,20
29/04/2015,L9,20
29/04/2015,OLH1,20
29/04/2015,OLH2,100
28/04/2015,OLH5,460
29/04/2015,VT1,20
29/04/2015,TAV2,20
29/04/2015,FUZ1,60
29/04/2015,FAR2,20
28/04/2015,L8,20
04/05/2015,LAL,20
04/05/2015,L1,20
04/05/2015,L2,20
04/05/2015,FUZ1,180
04/05/2015,TAV2,80
04/05/2015,VT1,20
04/05/2015,L9,20
04/05/2015,L8,160
04/05/2015,OLH4,20
05/05/2015,L6,20
04/05/2015,RIAV1,20
04/05/2015,RIAV2,20
04/05/2015,RIAV3,160
