Espécie,Zona de produção,Capitania,Data da colheita,Toxinas Lipofílicas
Mexilhão,L5,Peniche,17/11/2015,253.0
Mexilhão,OLH3,Olhão,16/11/2015,44.0
Mexilhão,TAV2,Tavira,16/11/2015,44.0
Mexilhão,OLH2,Olhão,16/11/2015,44.0
Berbigão,OLH1,Olhão,16/11/2015,44.0
Mexilhão,FUZ1,Olhão,16/11/2015,44.0
Mexilhão,L8,Olhão,16/11/2015,44.0
Mexilhão,OLH4,Olhão,16/11/2015,44.0
Longueirão,L6,Setúbal,17/11/2015,44.0
A. Branca,L2,Douro,17/11/2015,44.0
Pé-de-burrinho,L6,Setúbal,17/11/2015,44.0
Ameijola,L6,Setúbal,17/11/2015,25.3
A. Branca,L6,Setúbal,17/11/2015,44.0
A. Japonesa,ESD2,Setúbal,17/11/2015,44.0
Mexilhão,L6,Setúbal,17/11/2015,84.0
Mexilhão,L2,Douro,16/11/2015,306.0
Mexilhão,POR2,Portimão,17/11/2015,44.0
Mexilhão,LAG,Lagos,17/11/2015,78.0
Berbigão,OLH5,Olhão,17/11/2015,44.0
Ostra-portuguesa,VT1,Tavira-VRSA,16/11/2015,44.0
Conquilha,L9,VRSA,17/11/2015,44.0
Conquilha,L8,Olhão,17/11/2015,44.0
Mexilhão,ELM,V. Castelo,18/11/2015,101.0
Mexilhão,FAR1,Faro,18/11/2015,44.0
Mexilhão,L1,Caminha,18/11/2015,330.0
Mexilhão,RIAV2,Aveiro,18/11/2015,219.0
Mexilhão,RIAV1,Aveiro,18/11/2015,186.0
Conquilha,L5,Lisboa,19/11/2015,89.0
Longueirão direito,L5,Lisboa,19/11/2015,44.0
Berbigão,RIAV3,Aveiro,18/11/2015,44.0
Berbigão,RIAV1,Aveiro,18/11/2015,44.0
Berbigão,RIAV2,Aveiro,18/11/2015,44.0
Mexilhão,RIAV4,Aveiro,18/11/2015,72.0
Conquilha,L6,Setúbal,18/11/2015,294.0
Berbigão,FAR2,Faro,18/11/2015,44.0
Mexilhão,L3,Aveiro,18/11/2015,330.0
Mexilhão,LAL,Setúbal,23/11/2015,44.0
Mexilhão,ETJ,Lisboa,23/11/2015,60.0
Mexilhão,L5,Lisboa,23/11/2015,111.0
Mexilhão,L7c,Lagos,23/11/2015,68.0
Mexilhão,RIAV1,Aveiro,23/11/2015,178.0
Mexilhão,RIAV2,Aveiro,23/11/2015,179.0
Berbigão,RIAV1,Aveiro,23/11/2015,44.0
Berbigão,RIAV3,Aveiro,23/11/2015,44.0
Mexilhão,LOB,Peniche,24/11/2015,44.0
Berbigão,LOB,Peniche,24/11/2015,44.0
Berbigão,RIAV2,Aveiro,23/11/2015,44.0
Mexilhão,RIAV4,Aveiro,23/11/2015,44.0
Mexilhão,TAV2,Tavira,23/11/2015,44.0
Ostra-portuguesa,VT1,Tavira-VRSA,23/11/2015,44.0
Pé-de-burrinho,L6,Setúbal,23/11/2015,44.0
Mexilhão,L2,Douro,23/11/2015,311.0
A. Branca,L2,Douro,24/11/2015,44.0
A. Asiática,EMI,Caminha,24/11/2015,44.0
Berbigão,EMN2,Fig. Foz,24/11/2015,44.0
Mexilhão,EMN1,Fig. Foz,24/11/2015,44.0
Mexilhão,L8,Olhão,24/11/2015,44.0
Mexilhão,LAG,Lagos,24/11/2015,68.0
Mexilhão,POR2,Portimão,24/11/2015,44.0
A. Branca,L3,Aveiro,25/11/2015,44.0
Mexilhão,L1,Caminha,25/11/2015,235.0
Mexilhão,FAR1,Faro,25/11/2015,44.0
Mexilhão,OLH2,Olhão,25/11/2015,67.0
Berbigão,OLH5,Olhão,25/11/2015,44.0
Mexilhão,L7c,Lagos,25/11/2015,44.0
Berbigão,OLH1,Olhão,25/11/2015,44.0
Berbigão,FAR2,Faro,25/11/2015,44.0
Conquilha,L8,Olhão,25/11/2015,281.0
Conquilha,L9,VRSA,25/11/2015,83.0
Mexilhão,LAL,Setúbal,30/11/2015,44.0
A. Japonesa,ETJ,Lisboa,30/11/2015,44.0
Mexilhão,ETJ,Lisboa,30/11/2015,66.0
Mexilhão,L5,Lisboa,30/11/2015,108.0
Mexilhão,L7c,Lagos,29/11/2015,44.0
Ameijola,L6,Setúbal,29/11/2015,44.0
Longueirão,L6,Setúbal,29/11/2015,44.0
A. Branca,L6,Setúbal,29/11/2015,44.0
Mexilhão,TAV2,Tavira,30/11/2015,44.0
Ostra-portuguesa,VT1,Tavira-VRSA,30/11/2015,44.0
A. Boa,RIAV1,Aveiro,30/11/2015,25.3
A. Japonesa,RIAV1,Aveiro,30/11/2015,25.3
A. Macha,RIAV1,Aveiro,30/11/2015,25.3
Longueirão,RIAV2,Aveiro,30/11/2015,25.3
Ostra-portuguesa,RIAV2,Aveiro,30/11/2015,25.3
A. Japonesa,RIAV3,Aveiro,30/11/2015,25.3
A. Japonesa,RIAV2,Aveiro,30/11/2015,25.3
A. Boa,RIAV2,Aveiro,30/11/2015,25.3
A. Boa,RIAV3,Aveiro,30/11/2015,25.3
A. Macha,RIAV3,Aveiro,30/11/2015,25.3
Mexilhão,RIAV1,Aveiro,30/11/2015,165.0
Mexilhão,RIAV2,Aveiro,30/11/2015,155.0
Mexilhão,RIAV4,Aveiro,30/11/2015,94.0
Berbigão,RIAV4,Aveiro,30/11/2015,44.0
Berbigão,RIAV3,Aveiro,30/11/2015,44.0
Mexilhão,LOB,Peniche,01/12/2015,44.0
A. Macha,RIAV2,Aveiro,30/11/2015,25.3
Berbigão,RIAV2,Aveiro,30/11/2015,44.0
Mexilhão,LAG,Lagos,01/12/2015,44.0
Mexilhão,POR2,Portimão,01/12/2015,44.0
A. Japonesa,ESD2,Setúbal,01/12/2015,44.0
Berbigão,LOB,Peniche,01/12/2015,44.0
Berbigão,RIAV1,Aveiro,30/11/2015,44.0
Berbigão,EMN1,Fig. Foz,01/12/2015,44.0
Mexilhão,L1,Caminha,01/12/2015,311.0
Berbigão,OLH5,Olhão,01/12/2015,44.0
Mexilhão,L3,Aveiro,01/12/2015,338.0
Conquilha,L5,Lisboa,01/12/2015,86.0
Longueirão,L5,Lisboa,01/12/2015,44.0
Mexilhão,L2,Douro,30/11/2015,195.0
Berbigão,EMN2,Fig. Foz,01/12/2015,44.0
Mexilhão,L5,Peniche,01/12/2015,139.0
A. Branca,L3,Aveiro,02/12/2015,44.0
Mexilhão,L6,Setúbal,01/12/2015,44.0
Mexilhão,FAR1,Faro,02/12/2015,44.0
Mexilhão,OLH2,Olhão,02/12/2015,44.0
Mexilhão,L8,Olhão,02/12/2015,44.0
Conquilha,L9,VRSA,02/12/2015,114.0
Mexilhão,FUZ1,Olhão,02/12/2015,44.0
Mexilhão,OLH3,Olhão,02/12/2015,44.0
Berbigão,FAR2,Faro,02/12/2015,44.0
Mexilhão,OLH4,Olhão,02/12/2015,119.0
Conquilha,L8,Olhão,02/12/2015,77.0
Berbigão,OLH1,Olhão,02/12/2015,44.0
Mexilhão,L7c,Lagos,02/12/2015,44.0
Mexilhão,LAL,Setúbal,07/12/2015,44.0
A. Boa,LAL,Setúbal,07/12/2015,44.0
Mexilhão,ETJ,Lisboa,07/12/2015,44.0
Mexilhão,L5,Lisboa,07/12/2015,109.0
Mexilhão,LOB,Peniche,09/12/2015,44.0
Berbigão,LOB,Peniche,09/12/2015,44.0
A. Branca,L6,Setúbal,09/12/2015,44.0
Lambujinha,ESD1,Setúbal,09/12/2015,44.0
A. Japonesa,ESD2,Setúbal,09/12/2015,44.0
Longueirão,L6,Setúbal,09/12/2015,44.0
Mexilhão,L7c,Lagos,09/12/2015,44.0
Mexilhão,L7c,Lagos,09/12/2015,44.0
Mexilhão,ELM,V. Castelo,09/12/2015,114.0
Mexilhão,L1,Caminha,09/12/2015,321.0
Mexilhão,RIAV1,Aveiro,09/12/2015,73.0
Berbigão,EMN1,Fig. Foz,09/12/2015,44.0
Mexilhão,RIAV2,Aveiro,09/12/2015,75.0
Berbigão,RIAV3,Aveiro,09/12/2015,44.0
Mexilhão,RIAV4,Aveiro,09/12/2015,44.0
Berbigão,RIAV2,Aveiro,09/12/2015,44.0
Berbigão,RIAV1,Aveiro,09/12/2015,44.0
Berbigão,EMN2,Fig. Foz,09/12/2015,44.0
Ostra-portuguesa,VT1,Tavira-VRSA,09/12/2015,44.0
Mexilhão,L8,Olhão,09/12/2015,44.0
Mexilhão,OLH3,Olhão,09/12/2015,44.0
Mexilhão,OLH2,Olhão,09/12/2015,44.0
Mexilhão,FAR1,Faro,09/12/2015,44.0
Mexilhão,OLH4,Olhão,09/12/2015,44.0
Mexilhão,FUZ1,Olhão,09/12/2015,44.0
Mexilhão,TAV2,Tavira,09/12/2015,44.0
Berbigão,FAR2,Faro,09/12/2015,44.0
Berbigão,OLH1,Olhão,09/12/2015,44.0
Berbigão,OLH5,Olhão,07/12/2015,44.0
Ostra-portuguesa,EMR,Sines,10/12/2015,75.0
Mexilhão,LAL,Setúbal,14/12/2015,44.0
Mexilhão,FUZ1,Olhão,14/12/2015,44.0
Ostra-portuguesa,VT1,Tavira-VRSA,14/12/2015,44.0
Mexilhão,OLH3,Olhão,14/12/2015,44.0
Mexilhão,OLH2,Olhão,14/12/2015,44.0
Mexilhão,OLH4,Olhão,14/12/2015,44.0
Berbigão,OLH1,Olhão,14/12/2015,44.0
Mexilhão,RIAV2,Aveiro,14/12/2015,44.0
Mexilhão,LOB,Peniche,15/12/2015,44.0
Mexilhão,RIAV1,Aveiro,14/12/2015,75.0
Berbigão,RIAV2,Aveiro,14/12/2015,44.0
Mexilhão,L3,Aveiro,14/12/2015,109.0
Berbigão,OLH5,Olhão,14/12/2015,44.0
Mexilhão,L1,Caminha,14/12/2015,289.0
A. Japonesa,ESD2,Setúbal,15/12/2015,44.0
A. Asiática,EMI,Caminha,14/12/2015,44.0
Berbigão,LOB,Peniche,15/12/2015,44.0
Berbigão,RIAV1,Aveiro,14/12/2015,44.0
Berbigão,RIAV3,Aveiro,14/12/2015,44.0
A. Japonesa,ETJ,Lisboa,16/12/2015,44.0
Mexilhão,ETJ,Lisboa,16/12/2015,44.0
Berbigão,EMN1,Fig. Foz,15/12/2015,44.0
Mexilhão,RIAV4,Aveiro,14/12/2015,44.0
Mexilhão,L5,Lisboa,16/12/2015,71.0
Mexilhão,FAR1,Faro,15/12/2015,44.0
Mexilhão,POR2,Portimão,15/12/2015,44.0
Mexilhão,EMR,Sines,16/12/2015,44.0
Berbigão,EMN2,Fig. Foz,15/12/2015,44.0
Mexilhão,LAG,Lagos,15/12/2015,44.0
Conquilha,L8,Olhão,15/12/2015,92.0
Berbigão,FAR2,Faro,15/12/2015,44.0
Mexilhão,L2,Douro,15/12/2015,182.0
Mexilhão,L8,Olhão,16/12/2015,57.0
Mexilhão,L7c,Lagos,16/12/2015,59.0
Mexilhão,L6,Setúbal,15/12/2015,43.0
Mexilhão,TAV2,Tavira,15/12/2015,66.0
Lambujinha,ESD1,Setúbal,16/12/2015,25.3
Mexilhão,LAL,Setúbal,21/12/2015,17.0
Mexilhão,LOB,Peniche,21/12/2015,31.0
Ameijoa,LAL,Setúbal,21/12/2015,25.3
Berbigão,LOB,Peniche,21/12/2015,22.0
Mexilhão,OLH3,Olhão,21/12/2015,31.0
A. Japonesa,ESD2,Setúbal,21/12/2015,25.3
A. Branca,L6,Setúbal,21/12/2015,31.0
Mexilhão,FUZ1,Olhão,21/12/2015,43.0
Mexilhão,L8,Olhão,21/12/2015,53.0
Ameijola,L6,Setúbal,21/12/2015,25.3
Mexilhão,RIAV2,Aveiro,21/12/2015,122.0
Mexilhão,OLH4,Olhão,21/12/2015,50.0
Mexilhão,OLH2,Olhão,21/12/2015,69.0
Mexilhão,ETJ,Lisboa,21/12/2015,37.0
Mexilhão,RIAV1,Aveiro,21/12/2015,88.0
Berbigão,RIAV3,Aveiro,21/12/2015,28.0
Ostra-portuguesa,VT1,Tavira-VRSA,21/12/2015,36.0
Berbigão,RIAV2,Aveiro,21/12/2015,16.0
Berbigão,RIAV1,Aveiro,21/12/2015,25.0
Conquilha,L9,VRSA,21/12/2015,153.0
Mexilhão,L5,Lisboa,21/12/2015,59.0
Mexilhão,TAV2,Tavira,21/12/2015,65.0
Berbigão,FAR2,Faro,21/12/2015,25.3
Berbigão,OLH5,Olhão,21/12/2015,25.3
Conquilha,L8,Olhão,21/12/2015,152.0
Mexilhão,ETJ,Lisboa,28/12/2015,71.0
Mexilhão,L5,Lisboa,28/12/2015,96.0
Mexilhão,LAG,Lagos,28/12/2015,51.0
Mexilhão,RIAV4,Aveiro,28/12/2015,80.0
Mexilhão,RIAV2,Aveiro,28/12/2015,118.0
Berbigão,RIAV3,Aveiro,28/12/2015,28.0
Berbigão,RIAV2,Aveiro,28/12/2015,29.0
Berbigão,EMN1,Fig. Foz,28/12/2015,25.3
Berbigão,RIAV1,Aveiro,28/12/2015,17.0
Mexilhão,RIAV1,Aveiro,28/12/2015,71.0
Berbigão,EMN2,Fig. Foz,28/12/2015,22.0
Mexilhão,L1,Caminha,29/12/2015,270.0
Mexilhão,L2,Douro,28/12/2015,145.0
Mexilhão,LAL,Setúbal,04/01/2016,25.3
A. Branca,L6,Setúbal,05/01/2016,25.3
Longueirão,L6,Setúbal,05/01/2016,25.3
Mexilhão,L7c,Lagos,05/01/2016,44.0
Ameijola,L6,Setúbal,05/01/2016,25.3
Mexilhão,LOB,Peniche,06/01/2016,25.3
Berbigão,LOB,Peniche,06/01/2016,25.3
Mexilhão,ETJ,Lisboa,06/01/2016,31.0
Mexilhão,L5,Lisboa,06/01/2016,77.0
Mexilhão,L7c,Lagos,06/01/2016,30.0
Mexilhão,LAL,Setúbal,11/01/2016,25.3
Berbigão,LOB,Peniche,11/01/2016,25.3
Mexilhão,L5,Peniche,12/01/2016,52.0
Mexilhão,LOB,Peniche,12/01/2016,25.3
Mexilhão,RIAV1,Aveiro,11/01/2016,46.0
Mexilhão,RIAV2,Aveiro,11/01/2016,49.0
Mexilhão,RIAV4,Aveiro,11/01/2016,25.3
Berbigão,RIAV3,Aveiro,11/01/2016,25.3
Berbigão,RIAV1,Aveiro,11/01/2016,25.3
Berbigão,RIAV2,Aveiro,11/01/2016,25.3
Lambujinha,ESD1,Setúbal,12/01/2016,25.3
Mexilhão,L6,Setúbal,12/01/2016,30.0
A. Branca,L6,Setúbal,12/01/2016,25.3
Ameijola,L6,Setúbal,12/01/2016,25.3
Longueirão,L6,Setúbal,12/01/2016,25.3
Mexilhão,RIAV2,Aveiro,04/01/2016,61.0
Berbigão,RIAV1,Aveiro,04/01/2016,25.3
Mexilhão,RIAV1,Aveiro,04/01/2016,61.0
Berbigão,EMN2,Fig. Foz,05/01/2016,25.3
Berbigão,EMN1,Fig. Foz,05/01/2016,25.3
Mexilhão,RIAV4,Aveiro,04/01/2016,25.3
Berbigão,EMN2,Fig. Foz,12/01/2016,25.3
Mexilhão,L7c,Lagos,12/01/2016,25.3
Mexilhão,ETJ,Lisboa,13/01/2016,25.3
Mexilhão,L5,Lisboa,13/01/2016,65.0
Mexilhão,L7c,Lagos,13/01/2016,30.0
A. Branca,L2,Douro,13/01/2016,25.3
Mexilhão,ELM,V. Castelo,12/01/2016,57.0
Mexilhão,L1,Caminha,12/01/2016,256.0
Mexilhão,L2,Douro,13/01/2016,104.0
A. Boa,LAL,Setúbal,18/01/2016,25.3
Mexilhão,LAL,Setúbal,18/01/2016,25.3
Conquilha,L8,Olhão,18/01/2016,118.0
Berbigão,OLH1,Olhão,18/01/2016,25.3
Mexilhão,L8,Olhão,18/01/2016,25.3
Mexilhão,OLH2,Olhão,18/01/2016,25.3
Conquilha,L9,VRSA,18/01/2016,113.0
Mexilhão,OLH3,Olhão,18/01/2016,25.3
Mexilhão,OLH4,Olhão,18/01/2016,25.3
Mexilhão,FUZ1,Olhão,18/01/2016,25.3
Mexilhão,RIAV1,Aveiro,18/01/2016,42.0
Berbigão,RIAV3,Aveiro,18/01/2016,25.3
Mexilhão,RIAV2,Aveiro,18/01/2016,41.0
Berbigão,RIAV2,Aveiro,18/01/2016,25.3
A. Branca,L6,Setúbal,19/01/2016,25.3
Mexilhão,LOB,Peniche,19/01/2016,25.3
Berbigão,RIAV1,Aveiro,18/01/2016,25.3
Berbigão,LOB,Peniche,19/01/2016,25.3
Mexilhão,L7c,Lagos,19/01/2016,25.3
A. Branca,L3,Aveiro,19/01/2016,25.3
Berbigão,EMN2,Fig. Foz,19/01/2016,25.3
Berbigão,OLH5,Olhão,03/01/2016,25.3
Mexilhão,L7a,Lagos,19/01/2016,25.3
Mexilhão,FAR1,Faro,20/01/2016,25.3
Berbigão,FAR2,Faro,20/01/2016,25.3
Berbigão,OLH5,Olhão,19/01/2016,25.3
Mexilhão,ETJ,Lisboa,20/01/2016,25.3
Lambujinha,ESD2,Setúbal,20/01/2016,25.3
Lambujinha,ESD1,Setúbal,20/01/2016,25.3
Mexilhão,TAV2,Tavira,19/01/2016,30.0
Mexilhão,L5,Lisboa,20/01/2016,59.0
Mexilhão,ELM,V. Castelo,19/01/2016,91.0
A. Branca,L2,Douro,19/01/2016,25.3
Mexilhão,LAG,Lagos,19/01/2016,25.3
Mexilhão,L7c,Lagos,20/01/2016,34.0
Mexilhão,L2,Douro,17/01/2016,141.0
Mexilhão,L1,Caminha,19/01/2016,201.0
Mexilhão,POR2,Portimão,19/01/2016,46.0
Mexilhão,LAL,Setúbal,25/01/2016,25.3
Mexilhão,OLH4,Olhão,25/01/2016,25.3
Mexilhão,OLH3,Olhão,25/01/2016,37.0
Mexilhão,TAV2,Tavira,25/01/2016,41.0
Mexilhão,FUZ1,Olhão,25/01/2016,30.0
Mexilhão,L8,Olhão,25/01/2016,25.3
Berbigão,OLH5,Olhão,25/01/2016,25.3
Berbigão,OLH1,Olhão,25/01/2016,25.3
Mexilhão,OLH2,Olhão,25/01/2016,44.0
Ostra-portuguesa,VT1,Tavira-VRSA,25/01/2016,25.3
Mexilhão,RIAV1,Aveiro,25/01/2016,55.0
Mexilhão,RIAV2,Aveiro,25/01/2016,64.0
Berbigão,RIAV2,Aveiro,25/01/2016,25.3
Longueirão,RIAV1,Aveiro,25/01/2016,34.0
Mexilhão,L3,Aveiro,25/01/2016,171.0
Berbigão,RIAV3,Aveiro,25/01/2016,25.3
Mexilhão,LOB,Peniche,26/01/2016,35.0
Berbigão,RIAV1,Aveiro,25/01/2016,25.3
Mexilhão,L5,Peniche,26/01/2016,39.0
Berbigão,LOB,Peniche,26/01/2016,25.3
Mexilhão,RIAV4,Aveiro,25/01/2016,25.3
A. Branca,L6,Setúbal,26/01/2016,25.3
A. Japonesa,ESD2,Setúbal,26/01/2016,25.3
Mexilhão,L6,Setúbal,26/01/2016,25.3
Mexilhão,ELM,V. Castelo,26/01/2016,59.0
Mexilhão,L2,Douro,25/01/2016,172.0
Mexilhão,L1,Caminha,26/01/2016,85.0
A. Branca,L2,Douro,26/01/2016,25.3
Mexilhão,ETJ,Lisboa,27/01/2016,25.3
Berbigão,EMN1,Fig. Foz,26/01/2016,25.3
Mexilhão,L5,Lisboa,27/01/2016,68.0
A. Macha,EMN1,Fig. Foz,26/01/2016,25.3
Berbigão,EMN2,Fig. Foz,26/01/2016,25.3
Mexilhão,L7c,Lagos,27/01/2016,25.3
Mexilhão,L7a,Lagos,26/01/2016,25.3
Mexilhão,POR2,Portimão,26/01/2016,36.0
Conquilha,L9,VRSA,26/01/2016,82.0
Mexilhão,LAG,Lagos,26/01/2016,25.3
Conquilha,L8,Olhão,26/01/2016,84.0
Mexilhão,FAR1,Faro,27/01/2016,25.3
Berbigão,FAR2,Faro,27/01/2016,25.3
Mexilhão,L7c,Lagos,28/01/2016,25.3
Mexilhão,LAL,Setúbal,01/02/2016,34.0
Mexilhão,L7c,Lagos,01/02/2016,37.0
Mexilhão,L8,Olhão,01/02/2016,45.0
Berbigão,RIAV1,Aveiro,01/02/2016,36.0
Mexilhão,LOB,Peniche,02/02/2016,30.0
Berbigão,RIAV3,Aveiro,01/02/2016,32.0
Berbigão,FAR2,Faro,31/01/2016,36.0
Mexilhão,RIAV1,Aveiro,01/02/2016,74.0
Mexilhão,RIAV4,Aveiro,01/02/2016,36.0
Berbigão,LOB,Peniche,02/02/2016,31.0
Mexilhão,FUZ1,Olhão,31/01/2016,33.0
Mexilhão,OLH2,Olhão,01/02/2016,47.0
Mexilhão,L7c,Lagos,01/02/2016,31.0
Mexilhão,RIAV2,Aveiro,01/02/2016,61.0
Mexilhão,OLH4,Olhão,01/02/2016,29.0
Berbigão,OLH1,Olhão,01/02/2016,32.0
Mexilhão,FAR1,Faro,31/01/2016,27.0
Mexilhão,OLH3,Olhão,01/02/2016,32.0
A. Branca,L6,Setúbal,02/02/2016,45.0
Lambujinha,ESD1,Setúbal,02/02/2016,25.3
Mexilhão,ELM,V. Castelo,02/02/2016,99.0
Mexilhão,L1,Caminha,02/02/2016,153.0
Mexilhão,L2,Douro,01/02/2016,99.0
Berbigão,EMN1,Fig. Foz,02/02/2016,28.0
Berbigão,RIAV2,Aveiro,02/02/2016,29.0
Mexilhão,ETJ,Lisboa,03/02/2016,38.0
Mexilhão,L5,Lisboa,03/02/2016,96.0
Berbigão,EMN2,Fig. Foz,02/02/2016,29.0
Berbigão,OLH5,Olhão,02/02/2016,30.0
Conquilha,L8,Olhão,02/02/2016,127.0
Mexilhão,TAV2,Tavira,02/02/2016,37.0
Mexilhão,LAG,Lagos,02/02/2016,28.0
Conquilha,L9,VRSA,02/02/2016,104.0
Ostra-portuguesa,VT1,Tavira-VRSA,03/02/2016,29.0
A. Branca,L3,Aveiro,04/02/2016,25.3
Mexilhão,LAL,Setúbal,08/02/2016,37.0
A. Boa,LAL,Setúbal,08/02/2016,48.0
Mexilhão,LOB,Peniche,08/02/2016,25.3
Mexilhão,L5,Peniche,08/02/2016,29.0
Berbigão,LOB,Peniche,08/02/2016,18.0
Mexilhão,L7c,Lagos,10/02/2016,23.0
Mexilhão,L6,Setúbal,10/02/2016,24.0
A. Japonesa,ESD2,Setúbal,10/02/2016,25.3
Mexilhão,ELM,V. Castelo,10/02/2016,20.0
A. Asiática,EMI,Caminha,10/02/2016,25.3
Mexilhão,L2,Douro,08/02/2016,42.0
Mexilhão,L7a,Lagos,10/02/2016,15.0
Mexilhão,L1,Caminha,10/02/2016,76.0
Mexilhão,OLH2,Olhão,08/02/2016,24.0
Mexilhão,LAG,Lagos,10/02/2016,23.0
Berbigão,OLH1,Olhão,10/02/2016,20.0
Mexilhão,L8,Olhão,08/02/2016,17.0
Mexilhão,POR2,Portimão,10/02/2016,25.3
Mexilhão,ETJ,Lisboa,11/02/2016,15.0
Mexilhão,TAV2,Tavira,08/02/2016,21.0
Mexilhão,L5,Lisboa,11/02/2016,33.0
Longueirão,OLH5,Olhão,10/02/2016,25.3
Conquilha,L9,VRSA,10/02/2016,76.0
Mexilhão,OLH3,Olhão,10/02/2016,25.3
Mexilhão,OLH4,Olhão,10/02/2016,25.3
Ostra-portuguesa,VT1,Tavira-VRSA,08/02/2016,25.3
Conquilha,L8,Olhão,10/02/2016,78.0
Mexilhão,FUZ1,Olhão,10/02/2016,25.3
Mexilhão,FAR1,Faro,10/02/2016,25.3
Berbigão,FAR2,Faro,10/02/2016,25.3
Mexilhão,L7c,Lagos,10/02/2016,25.3
Mexilhão,RIAV2,Aveiro,10/02/2016,18.0
Mexilhão,RIAV1,Aveiro,10/02/2016,25.3
Mexilhão,RIAV4,Aveiro,10/02/2016,25.3
Berbigão,EMN2,Fig. Foz,10/02/2016,25.3
Berbigão,RIAV1,Aveiro,10/02/2016,25.3
Berbigão,RIAV3,Aveiro,10/02/2016,25.3
Berbigão,RIAV2,Aveiro,10/02/2016,25.3
Mexilhão,LAL,Setúbal,15/02/2016,64.0
A. Boa,LAL,Setúbal,15/02/2016,71.0
Conquilha,L6,Setúbal,15/02/2016,23.0
Mexilhão,RIAV2,Aveiro,15/02/2016,58.0
Mexilhão,RIAV1,Aveiro,15/02/2016,54.0
Mexilhão,RIAV4,Aveiro,15/02/2016,31.0
Berbigão,RIAV2,Aveiro,15/02/2016,42.0
Mexilhão,FAR1,Faro,15/02/2016,25.3
Mexilhão,L8,Olhão,15/02/2016,24.0
Mexilhão,OLH2,Olhão,15/02/2016,32.0
Mexilhão,TAV2,Tavira,15/02/2016,28.0
Mexilhão,FUZ1,Olhão,15/02/2016,28.0
Mexilhão,OLH3,Olhão,15/02/2016,28.0
Mexilhão,OLH4,Olhão,15/02/2016,25.3
Berbigão,OLH5,Olhão,15/02/2016,25.3
Berbigão,FAR2,Faro,15/02/2016,25.3
Berbigão,OLH1,Olhão,15/02/2016,25.3
A. Branca,L6,Setúbal,16/02/2016,25.3
Berbigão,LOB,Peniche,17/02/2016,16.0
Berbigão,RIAV3,Aveiro,16/02/2016,19.0
Mexilhão,LOB,Peniche,17/02/2016,21.0
Berbigão,EMN2,Fig. Foz,16/02/2016,28.0
Berbigão,RIAV1,Aveiro,16/02/2016,18.0
Mexilhão,LAG,Lagos,16/02/2016,16.0
Mexilhão,L7c,Lagos,16/02/2016,18.0
Mexilhão,ETJ,Lisboa,17/02/2016,17.0
Lambujinha,ESD2,Setúbal,17/02/2016,25.3
Mexilhão,L5,Lisboa,17/02/2016,36.0
Berbigão,ESD1,Setúbal,17/02/2016,25.3
Mexilhão,L7c,Lagos,17/02/2016,20.0
A. Branca,L2,Douro,17/02/2016,25.3
Conquilha,L8,Olhão,17/02/2016,56.0
Mexilhão,L2,Douro,17/02/2016,45.0
Conquilha,L9,VRSA,17/02/2016,85.0
Mexilhão,L1,Caminha,17/02/2016,60.0
Ostra-portuguesa,VT1,Tavira-VRSA,17/02/2016,17.0
A. Boa,LAL,Setúbal,22/02/2016,40.0
Mexilhão,LAL,Setúbal,22/02/2016,25.0
Mexilhão,OLH3,Olhão,22/02/2016,16.0
Mexilhão,L8,Olhão,22/02/2016,25.3
Mexilhão,OLH2,Olhão,22/02/2016,29.0
Mexilhão,TAV2,Tavira,22/02/2016,16.0
Mexilhão,FUZ1,Olhão,22/02/2016,25.3
Mexilhão,OLH4,Olhão,22/02/2016,18.0
Berbigão,OLH1,Olhão,22/02/2016,25.3
Mexilhão,L7c,Lagos,23/02/2016,25.3
Mexilhão,LOB,Peniche,23/02/2016,25.3
Mexilhão,L5,Peniche,23/02/2016,24.0
Berbigão,LOB,Peniche,23/02/2016,25.3
Conquilha,L6,Setúbal,23/02/2016,24.0
Pé-de-burrinho,L6,Setúbal,23/02/2016,25.3
Longueirão,L6,Setúbal,23/02/2016,25.3
A. Branca,L6,Setúbal,23/02/2016,25.3
A. Branca,L2,Douro,23/02/2016,25.3
Castanhola,L2,Douro,23/02/2016,16.0
Mexilhão,ELM,V. Castelo,23/02/2016,23.0
Mexilhão,L2,Douro,22/02/2016,37.0
Mexilhão,L1,Caminha,23/02/2016,43.0
A. Japonesa,ESD2,Setúbal,23/02/2016,25.3
A. Branca,L3,Aveiro,23/02/2016,25.3
Mexilhão,RIAV1,Aveiro,22/02/2016,27.0
Mexilhão,RIAV2,Aveiro,22/02/2016,28.0
Berbigão,EMN2,Fig. Foz,22/02/2016,30.0
Mexilhão,RIAV4,Aveiro,22/02/2016,19.0
Berbigão,RIAV3,Aveiro,22/02/2016,21.0
Mexilhão,L3,Aveiro,22/02/2016,108.0
Mexilhão,LAG,Lagos,23/02/2016,18.0
Conquilha,L9,VRSA,23/02/2016,63.0
Conquilha,L8,Olhão,23/02/2016,27.0
Mexilhão,L7a,Lagos,23/02/2016,25.3
Berbigão,RIAV2,Aveiro,22/02/2016,25.3
Berbigão,RIAV1,Aveiro,23/02/2016,25.3
Mexilhão,L7c,Lagos,24/02/2016,25.3
Berbigão,OLH5,Olhão,23/02/2016,25.3
A. Asiática,EMI,Caminha,23/02/2016,25.3
