Espécie,Zona de produção,Capitania,Data da colheita,Toxinas Lipofílicas
Mexilhão,LAL,Setúbal,18/12/2017,25.3
A. Branca,L4,Nazaré,18/12/2017,25.3
A. Branca,L2,Douro,18/12/2017,25.3
Mexilhão,L2,Douro,18/12/2017,113.0
Mexilhão,RIAV1,Aveiro,18/12/2017,115.0
Mexilhão,RIAV2,Aveiro,18/12/2017,92.0
Berbigão,FAR2,Faro,18/12/2017,25.3
Berbigão,RIAV2,Aveiro,18/12/2017,25.3
Berbigão,RIAV3,Aveiro,18/12/2017,25.3
Berbigão,RIAV1,Aveiro,18/12/2017,25.3
Mexilhão,RIAV4,Aveiro,18/12/2017,25.3
A. Branca,L3,Aveiro,18/12/2017,25.3
Mexilhão,OLH3,Olhão,18/12/2017,25.3
Mexilhão,FAR1,Faro,18/12/2017,25.3
Mexilhão,OLH4,Olhão,18/12/2017,25.3
Mexilhão,L3,Aveiro,18/12/2017,388.0
Berbigão,OLH5,Olhão,18/12/2017,25.3
Ostra-gigante,GUA,GUA,18/12/2017,25.3
Ostra-gigante,VT1,Tavira-VRSA,18/12/2017,25.3
A. Japonesa,ESD2,Setúbal,19/12/2017,25.3
A. Boa,FUZ1,Olhão,19/12/2017,25.3
Conquilha,L6,Setúbal,19/12/2017,264.0
Mexilhão,L7c,Lagos,18/12/2017,25.3
Mexilhão,LAG,Lagos,19/12/2017,25.3
Conquilha,L8,Olhão,19/12/2017,25.3
Berbigão,LOB,Peniche,19/12/2017,25.3
Conquilha,L9,VRSA,19/12/2017,91.0
Mexilhão,LOB,Peniche,19/12/2017,50.0
Mexilhão,L7a,Lagos,19/12/2017,30.0
Mexilhão,ETJ,Lisboa,20/12/2017,129.0
Mexilhão,L5b,Lisboa,20/12/2017,336.0
Mexilhão,EMN1,Fig. Foz,19/12/2017,113.0
Mexilhão,L1,Caminha,19/12/2017,140.0
Berbigão,EMN1,Fig. Foz,19/12/2017,18.0
Mexilhão,L4,Nazaré,19/12/2017,401.0
Ostra-gigante,POR3,Portimão,19/12/2017,25.3
Ostra-gigante,L7b,Lagos-Portimão,19/12/2017,25.3
Mexilhão,TAV2,Tavira,20/12/2017,25.3
Mexilhão,OLH2,Olhão,20/12/2017,43.0
Mexilhão,EMR,Sines,21/12/2017,70.0
Mexilhão,L7c,Lagos,21/12/2017,25.3
Mexilhão,POR2,Portimão,26/12/2017,27.0
Lambujinha,ESD1,Setúbal,26/12/2017,25.3
Longueirão,POR2,Portimão,26/12/2017,25.3
A. Boa,POR2,Portimão,26/12/2017,25.3
Mexilhão,RIAV2,Aveiro,27/12/2017,147.0
Berbigão,RIAV2,Aveiro,27/12/2017,25.3
Berbigão,RIAV3,Aveiro,27/12/2017,25.3
Berbigão,RIAV1,Aveiro,27/12/2017,25.3
Mexilhão,RIAV1,Aveiro,27/12/2017,121.0
Mexilhão,LAL,Setúbal,28/12/2017,25.3
Mexilhão,ETJ,Lisboa,28/12/2017,121.0
Berbigão,LAL,Setúbal,28/12/2017,25.3
Conquilha,L5b,Lisboa,26/12/2017,347.0
Conquilha,L5b,Lisboa,28/12/2017,332.0
A. Japonesa,ESD2,Setúbal,02/01/2018,25.3
Ameijola,L6,Setúbal,02/01/2018,25.3
Mexilhão,L5b,Lisboa,03/01/2018,86.0
Mexilhão,ETJ,Lisboa,03/01/2018,195.0
Conquilha,L9,VRSA,02/01/2018,77.0
Berbigão,OLH5,Olhão,02/01/2018,25.3
Mexilhão,LAG,Lagos,02/01/2018,25.3
Conquilha,L8,Olhão,02/01/2018,57.0
Mexilhão,L1,Caminha,03/01/2018,97.0
Mexilhão,L2,Douro,02/01/2018,76.0
Mexilhão,LAL,Setúbal,04/01/2018,25.3
Mexilhão,LOB,Peniche,03/01/2018,30.0
Mexilhão,LOB,Peniche,03/01/2018,25.3
Berbigão,LOB,Peniche,03/01/2018,25.3
Mexilhão,L5a,Lisboa,04/01/2018,184.0
Mexilhão,OLH4,Olhão,03/01/2018,25.3
Mexilhão,TAV2,Tavira,03/01/2018,25.3
Mexilhão,OLH2,Olhão,03/01/2018,25.3
Mexilhão,OLH3,Olhão,03/01/2018,26.0
Mexilhão,FAR1,Faro,03/01/2018,30.0
Mexilhão,EMR,Sines,04/01/2018,44.0
Mexilhão,RIAV2,Aveiro,04/01/2018,91.0
Mexilhão,RIAV1,Aveiro,04/01/2018,151.0
Berbigão,RIAV1,Aveiro,03/01/2018,25.3
Berbigão,EMN1,Fig. Foz,03/01/2018,25.3
Mexilhão,RIAV4,Aveiro,04/01/2018,27.0
A. Branca,L3,Aveiro,03/01/2018,25.3
Ostra-gigante,VT1,Tavira-VRSA,03/01/2018,25.3
Berbigão,RIAV3,Aveiro,03/01/2018,25.3
Mexilhão,L3,Aveiro,04/01/2018,125.0
Berbigão,RIAV2,Aveiro,03/01/2018,25.3
A. Boa,FUZ1,Olhão,04/01/2018,25.3
A. Boa,OLH1,Olhão,04/01/2018,25.3
A. Boa,FAR2,Faro,04/01/2018,25.3
Mexilhão,L7a,Lagos,04/01/2018,25.3
Mexilhão,LAL,Setúbal,08/01/2018,25.3
Mexilhão,OLH4,Olhão,08/01/2018,25.3
Mexilhão,OLH3,Olhão,08/01/2018,25.3
Berbigão,FAR2,Faro,08/01/2018,52.0
Mexilhão,FAR1,Faro,08/01/2018,35.0
Mexilhão,RIAV2,Aveiro,08/01/2018,25.3
Mexilhão,RIAV1,Aveiro,08/01/2018,33.0
Berbigão,RIAV2,Aveiro,08/01/2018,25.3
Mexilhão,OLH2,Olhão,08/01/2018,25.3
Mexilhão,LOB,Peniche,09/01/2018,25.3
Berbigão,LOB,Peniche,09/01/2018,25.3
A. Japonesa,ESD2,Setúbal,09/01/2018,25.3
A. Branca,L4,Nazaré,08/01/2018,25.3
A. Branca,L6,Setúbal,09/01/2018,25.3
Mexilhão,L1,Caminha,09/01/2018,25.3
Mexilhão,L2,Douro,08/01/2018,36.0
Berbigão,RIAV1,Aveiro,09/01/2018,25.3
Berbigão,EMN1,Fig. Foz,09/01/2018,25.3
A. Boa,RIAV4,Aveiro,09/01/2018,25.3
Mexilhão,RIAV3,Aveiro,09/01/2018,72.0
A. Macha,RIAV4,Aveiro,09/01/2018,25.3
Berbigão,RIAV3,Aveiro,09/01/2018,25.3
Berbigão,EMN2,Fig. Foz,09/01/2018,25.3
Mexilhão,LAG,Lagos,09/01/2018,25.3
Ostra-gigante,POR3,Portimão,09/01/2018,25.3
Lambujinha,ESD1,Setúbal,10/01/2018,25.3
Lambujinha,ESD2,Setúbal,10/01/2018,25.3
Ostra-gigante,L7b,Lagos-Portimão,09/01/2018,25.3
Mexilhão,ETJ,Lisboa,10/01/2018,39.0
A. Japonesa,ETJ,Lisboa,09/01/2018,25.3
Mexilhão,TAV2,Tavira,10/01/2018,25.3
Ostra-gigante,GUA,GUA,10/01/2018,25.3
Mexilhão,POR2,Portimão,11/01/2018,25.3
Berbigão,OLH5,Olhão,11/01/2018,25.3
Mexilhão,LAL,Setúbal,15/01/2018,25.3
A. Boa,FUZ1,Olhão,15/01/2018,25.3
Mexilhão,OLH4,Olhão,15/01/2018,37.0
Mexilhão,OLH3,Olhão,15/01/2018,34.0
Mexilhão,OLH2,Olhão,15/01/2018,25.3
Berbigão,RIAV2,Aveiro,15/01/2018,33.0
Mexilhão,RIAV1,Aveiro,15/01/2018,25.3
Mexilhão,RIAV4,Aveiro,15/01/2018,25.3
Mexilhão,RIAV2,Aveiro,15/01/2018,25.3
A. Japonesa,ETJ,Lisboa,15/01/2018,25.3
Mexilhão,LOB,Peniche,16/01/2018,25.3
Ostra-gigante,GUA,GUA,15/01/2018,25.3
Berbigão,LOB,Peniche,16/01/2018,25.3
Ostra-gigante,VT1,Tavira-VRSA,15/01/2018,25.3
Mexilhão,L5a,Lisboa,16/01/2018,85.0
Conquilha,L6,Setúbal,16/01/2018,25.3
A. Japonesa,ESD2,Setúbal,16/01/2018,25.3
A. Branca,L2,Douro,16/01/2018,25.3
Mexilhão,L1,Caminha,16/01/2018,25.3
Mexilhão,L2,Douro,15/01/2018,25.3
A. Branca,L3,Aveiro,16/01/2018,25.3
Berbigão,EMN1,Fig. Foz,16/01/2018,25.3
Berbigão,RIAV3,Aveiro,16/01/2018,25.3
Mexilhão,POR2,Portimão,16/01/2018,25.3
Conquilha,L8,Olhão,16/01/2018,52.0
Berbigão,RIAV1,Aveiro,16/01/2018,25.3
Berbigão,POR2,Portimão,16/01/2018,25.3
Mexilhão,L7c,Lagos,16/01/2018,25.3
Mexilhão,L7a,Lagos,16/01/2018,25.3
Mexilhão,LAG,Lagos,16/01/2018,25.3
Mexilhão,EMN1,Fig. Foz,16/01/2018,15.0
Mexilhão,L4,Nazaré,16/01/2018,66.0
Mexilhão,ETJ,Lisboa,18/01/2018,53.0
