N.ºamostra,Data da colheita,Zona de produção,DSP
451,10/03/2015,L7a,20
452,10/03/2015,L7c,20
453,10/03/2015,POR2,20
454,09/03/2015,L9,20
455,10/03/2015,LAG,20
456,09/03/2015,OLH1,20
457,09/03/2015,OLH2,20
458,09/03/2015,VT1,20
459,09/03/2015,TAV2,20
460,09/03/2015,FUZ1,20
461,09/03/2015,OLH3,20
462,10/03/2015,EMN2,20
463,09/03/2015,L2,20
464,09/03/2015,L1,20
465,10/03/2015,L1,20
466,10/03/2015,ELM,20
469,11/03/2015,L5,20
470,11/03/2015,ETJ,20
471,11/03/2015,FAR2,20
472,11/03/2015,OLH4,20
473,11/03/2015,L8,20
474,11/03/2015,L2,20
475,16/03/2015,LAL,20
476,16/03/2015,FUZ1,220
477,16/03/2015,FAR2,20
478,16/03/2015,L9,220
479,16/03/2015,TAV2,20
480,16/03/2015,L8,220
481,16/03/2015,VT1,20
482,16/03/2015,OLH2,20
483,16/03/2015,OLH1,20
484,16/03/2015,OLH3,20
485,16/03/2015,OLH5,20
486,17/03/2015,L5,20
487,17/03/2015,LOB,9220
488,16/03/2015,RIAV1/L3,20
489,16/03/2015,RIAV2,20
490,16/03/2015,RIAV3,20
491,16/03/2015,RIAV4,20
492,16/03/2015,L3,20
493,16/03/2015,RIAV1,20
494,16/03/2015,L1,20
495,16/03/2015,EMI,20
496,16/03/2015,EMI,20
497,16/03/2015,ELM,20
498,17/03/2015,ETJ,20
499,17/03/2015,L6,20
500,17/03/2015,L6,20
501,17/03/2015,ESD2,20
502,17/03/2015,ESD1,20
503,17/03/2015,ESD1,20
504,17/03/2015,POR2,420
505,17/03/2015,LAG,20
506,17/03/2015,L7a,20
507,17/03/2015,L7c,20
508,17/03/2015,L8,20
509,17/03/2015,L7c,20
510,18/03/2015,L5,20
511,17/03/2015,EMN2,20
512,18/03/2015,OLH4,20
513,18/03/2015,FAR1,20
514,18/03/2015,L3,20
515,18/03/2015,L2,20
516,17/03/2015,L1,20
517,17/03/2015,L2,20
518,20/03/2015,ETJ,20
519,20/03/2015,L5,20
520,23/03/2015,LAL,20
521,23/03/2015,L5,20
522,23/03/2015,ETJ,20
523,23/03/2015,TAV2,420
524,23/03/2015,VT1,20
525,23/03/2015,L8,12620
526,23/03/2015,L8,620
527,23/03/2015,L9,220
528,23/03/2015,FUZ1,3220
529,23/03/2015,OLH1,20
530,23/03/2015,L8,820
531,23/03/2015,FAR2,1220
532,23/03/2015,RIAV1/L3,20
533,23/03/2015,RIAV2,20
534,23/03/2015,RIAV3,20
535,23/03/2015,RIAV4,20
536,23/03/2015,L3,20
537,23/03/2015,RIAV1,20
538,24/03/2015,L5,20
539,24/03/2015,LOB,20
540,24/03/2015,EMR,220
541,24/03/2015,L6,20
542,24/03/2015,ESD2,20
